Data,Hora,Timestamp_Sistema,Temp_Centro_C,Temp_Max_C,,
2026-04-07,11:21:08,20260407_112108,18,85,34,10
2026-04-07,11:21:13,20260407_112113,18,98,34,16
2026-04-07,11:21:18,20260407_112118,18,98,34,10
2026-04-07,11:21:23,20260407_112123,18,98,34,10
2026-04-07,11:21:28,20260407_112128,18,91,34,10
2026-04-07,11:21:33,20260407_112133,18,98,34,16
2026-04-07,11:21:38,20260407_112138,18,98,34,16
2026-04-07,11:21:43,20260407_112143,18,98,34,23
2026-04-07,11:21:48,20260407_112148,19,16,34,54
2026-04-07,11:21:53,20260407_112153,19,4,34,48
2026-04-07,11:21:58,20260407_112158,19,16,34,54
2026-04-07,11:22:03,20260407_112203,19,16,34,54
2026-04-07,11:22:08,20260407_112208,19,10,34,54
2026-04-07,11:22:13,20260407_112213,19,10,34,54
2026-04-07,11:22:18,20260407_112218,19,16,34,60
2026-04-07,11:22:23,20260407_112223,19,16,34,66
2026-04-07,11:22:28,20260407_112228,19,16,34,66
2026-04-07,11:22:33,20260407_112233,19,10,34,79
2026-04-07,11:22:38,20260407_112238,19,16,34,79
2026-04-07,11:22:43,20260407_112243,19,16,34,73
2026-04-07,11:22:48,20260407_112248,19,23,34,85
2026-04-07,11:22:53,20260407_112253,19,10,34,79
2026-04-07,11:22:58,20260407_112258,19,16,34,91
2026-04-07,11:23:03,20260407_112303,19,16,34,85
2026-04-07,11:23:08,20260407_112308,19,16,34,85
2026-04-07,11:23:13,20260407_112313,19,16,34,79
2026-04-07,11:23:18,20260407_112318,19,10,34,60
2026-04-07,11:23:23,20260407_112323,19,10,34,66
2026-04-07,11:23:28,20260407_112328,19,4,34,73
2026-04-07,11:23:33,20260407_112333,19,10,34,66
2026-04-07,11:23:38,20260407_112338,19,16,34,54
2026-04-07,11:23:43,20260407_112343,19,10,34,48
2026-04-07,11:23:48,20260407_112348,19,10,34,60
2026-04-07,11:23:53,20260407_112353,19,10,34,48
2026-04-07,11:23:58,20260407_112358,19,10,34,48
2026-04-07,11:24:03,20260407_112403,19,16,34,48
2026-04-07,11:24:08,20260407_112408,19,16,34,48
2026-04-07,11:24:13,20260407_112413,19,16,34,54
2026-04-07,11:24:18,20260407_112418,19,16,34,29
2026-04-07,11:24:23,20260407_112423,19,10,34,23
2026-04-07,11:24:28,20260407_112428,19,16,34,23
2026-04-07,11:24:33,20260407_112433,19,16,34,23
2026-04-07,11:24:38,20260407_112438,19,16,34,29
2026-04-07,11:24:43,20260407_112443,19,16,34,29
2026-04-07,11:24:48,20260407_112448,19,10,34,23
2026-04-07,11:24:53,20260407_112453,19,10,34,23
2026-04-07,11:24:58,20260407_112458,19,10,34,23
2026-04-07,11:25:03,20260407_112503,19,10,34,10
2026-04-07,11:25:08,20260407_112508,19,10,33,98
2026-04-07,11:25:13,20260407_112513,19,4,33,85
2026-04-07,11:25:18,20260407_112518,19,4,33,79
2026-04-07,11:25:23,20260407_112523,19,10,33,85
2026-04-07,11:25:28,20260407_112528,19,10,33,66
2026-04-07,11:25:33,20260407_112533,19,10,33,66
2026-04-07,11:25:38,20260407_112538,19,10,33,60
2026-04-07,11:25:43,20260407_112543,19,16,33,66
2026-04-07,11:25:48,20260407_112548,19,10,33,60
2026-04-07,11:25:53,20260407_112553,19,10,33,66
2026-04-07,11:25:58,20260407_112558,19,10,33,60
2026-04-07,11:26:03,20260407_112603,19,16,33,66
2026-04-07,11:26:08,20260407_112608,19,16,33,73
2026-04-07,11:26:13,20260407_112613,19,16,33,73
2026-04-07,11:26:18,20260407_112618,19,16,33,73
2026-04-07,11:26:23,20260407_112623,18,98,33,54
2026-04-07,11:26:28,20260407_112628,18,98,33,54
2026-04-07,11:26:33,20260407_112633,18,98,33,48
2026-04-07,11:26:38,20260407_112638,18,98,33,41
2026-04-07,11:26:43,20260407_112643,18,98,33,41
2026-04-07,11:26:48,20260407_112648,18,98,33,41
2026-04-07,11:26:53,20260407_112653,18,98,33,54
2026-04-07,11:26:58,20260407_112658,18,98,33,48
2026-04-07,11:27:03,20260407_112703,19,4,33,54
2026-04-07,11:27:08,20260407_112708,19,4,33,60
2026-04-07,11:27:13,20260407_112713,19,4,33,73
2026-04-07,11:27:18,20260407_112718,19,10,33,79
2026-04-07,11:27:23,20260407_112723,19,10,33,79
2026-04-07,11:27:28,20260407_112728,19,10,33,79
2026-04-07,11:27:33,20260407_112733,19,10,33,79
2026-04-07,11:27:38,20260407_112738,19,10,33,73
2026-04-07,11:31:19,20260407_113119,18,98,33,91
2026-04-07,11:31:24,20260407_113124,18,54,32,60
2026-04-07,11:31:29,20260407_113129,19,4,34,10
2026-04-07,11:31:34,20260407_113134,18,98,34,16
2026-04-07,11:31:39,20260407_113139,18,98,34,16
2026-04-07,11:31:44,20260407_113144,19,10,34,16
2026-04-07,11:31:49,20260407_113149,19,10,34,23
2026-04-07,11:31:54,20260407_113154,19,10,34,10
2026-04-07,11:31:59,20260407_113159,19,16,34,10
2026-04-07,11:32:04,20260407_113204,19,16,34,10
2026-04-07,11:32:09,20260407_113209,19,10,33,98
2026-04-07,11:32:14,20260407_113214,19,23,33,98
2026-04-07,11:32:19,20260407_113219,19,23,33,98
2026-04-07,11:32:24,20260407_113224,19,41,33,98
2026-04-07,11:32:29,20260407_113229,19,41,33,91
2026-04-07,11:32:34,20260407_113234,19,41,33,98
2026-04-07,11:32:39,20260407_113239,19,41,33,91
2026-04-07,11:32:44,20260407_113244,19,41,34,4
2026-04-07,11:32:49,20260407_113249,19,41,34,10
2026-04-07,11:32:54,20260407_113254,19,41,33,98
2026-04-07,11:32:59,20260407_113259,19,41,33,98
2026-04-07,11:33:04,20260407_113304,19,48,34,10
2026-04-07,11:33:09,20260407_113309,19,41,34,10
2026-04-07,11:33:14,20260407_113314,19,54,34,16
2026-04-07,11:33:19,20260407_113319,19,54,34,4
2026-04-07,11:33:24,20260407_113324,19,54,33,91
2026-04-07,11:33:29,20260407_113329,19,60,33,91
2026-04-07,11:33:34,20260407_113334,19,60,33,91
2026-04-07,11:33:39,20260407_113339,19,54,33,85
2026-04-07,11:33:44,20260407_113344,19,48,33,85
2026-04-07,11:33:49,20260407_113349,19,60,33,85
2026-04-07,11:33:54,20260407_113354,19,60,33,79
2026-04-07,11:33:59,20260407_113359,19,48,33,73
2026-04-07,11:34:04,20260407_113404,19,60,33,79
2026-04-07,11:34:09,20260407_113409,19,48,33,79
2026-04-07,11:34:14,20260407_113414,19,48,33,73
2026-04-07,11:34:19,20260407_113419,19,54,33,73
2026-04-07,11:34:24,20260407_113424,19,54,33,73
2026-04-07,11:34:29,20260407_113429,19,54,33,73
2026-04-07,11:34:34,20260407_113434,19,48,33,73
2026-04-07,11:34:39,20260407_113439,19,60,33,73
2026-04-07,11:34:44,20260407_113444,19,54,33,66
2026-04-07,11:34:49,20260407_113449,19,54,33,60
2026-04-07,11:34:54,20260407_113454,19,60,33,54
2026-04-07,11:34:59,20260407_113459,19,54,33,60
2026-04-07,11:35:04,20260407_113504,19,54,33,48
2026-04-07,11:35:09,20260407_113509,19,60,33,60
2026-04-07,11:35:14,20260407_113514,19,54,33,60
2026-04-07,11:35:19,20260407_113519,19,60,33,60
2026-04-07,11:35:24,20260407_113524,19,60,33,66
2026-04-07,11:35:29,20260407_113529,19,60,33,48
2026-04-07,11:35:34,20260407_113534,19,54,33,41
2026-04-07,11:35:39,20260407_113539,19,60,33,48
2026-04-07,11:35:44,20260407_113544,19,60,33,41
2026-04-07,11:35:49,20260407_113549,19,60,33,41
2026-04-07,11:35:54,20260407_113554,19,54,33,35
2026-04-07,11:35:59,20260407_113559,19,60,33,41
2026-04-07,11:36:04,20260407_113604,19,60,33,41
2026-04-07,11:36:09,20260407_113609,19,48,33,41
2026-04-07,11:36:14,20260407_113614,19,54,33,35
2026-04-07,11:36:19,20260407_113619,19,60,33,35
2026-04-07,11:36:24,20260407_113624,19,60,33,41
2026-04-07,11:36:29,20260407_113629,19,60,33,41
2026-04-07,11:36:34,20260407_113634,19,60,33,48
2026-04-07,11:36:39,20260407_113639,19,60,33,48
2026-04-07,11:36:44,20260407_113644,19,60,33,48
2026-04-07,11:36:49,20260407_113649,19,54,33,60
2026-04-07,11:36:54,20260407_113654,19,60,33,66
2026-04-07,11:36:59,20260407_113659,19,54,33,79
2026-04-07,11:37:04,20260407_113704,19,66,33,91
2026-04-07,11:37:09,20260407_113709,19,66,33,98
2026-04-07,11:37:14,20260407_113714,19,73,33,91
2026-04-07,11:37:19,20260407_113719,19,73,34,10
2026-04-07,11:37:24,20260407_113724,19,73,34,23
2026-04-07,11:37:29,20260407_113729,19,73,34,10
2026-04-07,11:37:34,20260407_113734,19,73,34,16
2026-04-07,11:37:39,20260407_113739,19,73,34,10
2026-04-07,11:37:44,20260407_113744,19,66,34,16
2026-04-07,11:37:49,20260407_113749,19,73,34,23
2026-04-07,11:37:54,20260407_113754,19,73,34,23
2026-04-07,11:37:59,20260407_113759,19,73,34,23
2026-04-07,11:38:04,20260407_113804,19,73,34,23
2026-04-07,11:38:09,20260407_113809,19,73,34,23
2026-04-07,11:38:14,20260407_113814,19,79,34,16
2026-04-07,11:38:19,20260407_113819,19,79,34,10
2026-04-07,11:38:24,20260407_113824,19,66,33,98
2026-04-07,11:38:29,20260407_113829,19,60,34,4
2026-04-07,11:38:34,20260407_113834,19,60,34,10
2026-04-07,11:38:39,20260407_113839,19,60,34,16
2026-04-07,11:38:44,20260407_113844,19,66,34,23
2026-04-07,11:38:49,20260407_113849,19,60,34,16
2026-04-07,11:38:54,20260407_113854,19,60,34,10
2026-04-07,11:38:59,20260407_113859,19,54,34,10
2026-04-07,11:39:04,20260407_113904,19,73,34,16
2026-04-07,11:39:09,20260407_113909,19,66,34,4
2026-04-07,11:39:14,20260407_113914,19,66,33,85
2026-04-07,11:39:19,20260407_113919,19,66,33,73
2026-04-07,11:39:24,20260407_113924,19,73,33,79
2026-04-07,11:39:29,20260407_113929,19,60,33,85
2026-04-07,11:39:34,20260407_113934,19,60,33,85
2026-04-07,11:39:39,20260407_113939,19,66,33,98
2026-04-07,11:39:44,20260407_113944,19,60,33,98
2026-04-07,11:39:49,20260407_113949,19,66,34,10
2026-04-07,11:39:54,20260407_113954,19,54,34,10
2026-04-07,11:39:59,20260407_113959,19,48,34,16
2026-04-07,11:40:04,20260407_114004,19,54,34,23
2026-04-07,11:40:09,20260407_114009,19,54,34,23
2026-04-07,11:40:14,20260407_114014,19,48,34,23
2026-04-07,11:40:19,20260407_114019,19,48,34,29
2026-04-07,11:40:24,20260407_114024,19,48,34,29
2026-04-07,11:40:29,20260407_114029,19,48,34,23
2026-04-07,11:40:34,20260407_114034,19,48,34,16
2026-04-07,11:40:39,20260407_114039,19,48,34,10
2026-04-07,11:40:44,20260407_114044,19,48,33,85
2026-04-07,11:40:49,20260407_114049,19,41,33,85
2026-04-07,11:40:54,20260407_114054,19,48,33,85
2026-04-07,11:40:59,20260407_114059,19,41,33,79
2026-04-07,11:41:04,20260407_114104,19,41,33,79
2026-04-07,11:41:09,20260407_114109,19,41,33,73
2026-04-07,11:41:14,20260407_114114,19,41,33,54
2026-04-07,11:41:19,20260407_114119,19,35,33,48
2026-04-07,11:41:24,20260407_114124,19,29,33,48
2026-04-07,11:41:29,20260407_114129,19,10,33,29
2026-04-07,11:41:34,20260407_114134,19,16,33,16
2026-04-07,11:41:39,20260407_114139,19,10,33,16
2026-04-07,11:41:44,20260407_114144,19,10,33,16
2026-04-07,11:41:49,20260407_114149,19,4,33,23
2026-04-07,11:41:54,20260407_114154,19,4,33,23
2026-04-07,11:41:59,20260407_114159,18,98,33,23
2026-04-07,11:42:04,20260407_114204,19,4,33,35
2026-04-07,11:42:09,20260407_114209,18,98,33,41
2026-04-07,11:42:14,20260407_114214,19,4,33,48
2026-04-07,11:42:19,20260407_114219,19,4,33,48
2026-04-07,11:42:24,20260407_114224,19,4,33,48
2026-04-07,11:42:29,20260407_114229,18,98,33,48
2026-04-07,11:42:34,20260407_114234,18,98,33,48
2026-04-07,11:42:39,20260407_114239,18,98,33,54
2026-04-07,11:42:44,20260407_114244,19,4,33,60
2026-04-07,11:42:49,20260407_114249,18,98,33,66
2026-04-07,11:42:54,20260407_114254,18,98,33,66
2026-04-07,11:42:59,20260407_114259,19,16,33,73
2026-04-07,11:43:04,20260407_114304,19,16,33,66
2026-04-07,11:43:09,20260407_114309,19,10,33,66
2026-04-07,11:43:14,20260407_114314,19,16,33,66
2026-04-07,11:43:19,20260407_114319,19,23,33,73
2026-04-07,11:43:24,20260407_114324,19,23,33,73
2026-04-07,11:43:29,20260407_114329,19,23,33,73
2026-04-07,11:43:34,20260407_114334,19,23,33,73
2026-04-07,11:43:39,20260407_114339,19,29,33,79
2026-04-07,11:43:44,20260407_114344,19,29,33,79
2026-04-07,11:43:49,20260407_114349,19,29,33,73
2026-04-07,11:43:54,20260407_114354,19,23,33,73
2026-04-07,11:43:59,20260407_114359,19,23,33,73
2026-04-07,11:44:04,20260407_114404,19,16,33,73
2026-04-07,11:44:09,20260407_114409,19,16,33,73
2026-04-07,11:44:14,20260407_114414,19,16,33,66
2026-04-07,11:44:19,20260407_114419,19,16,33,66
2026-04-07,11:44:24,20260407_114424,19,16,33,66
2026-04-07,11:44:29,20260407_114429,19,29,33,79
2026-04-07,11:44:34,20260407_114434,19,29,33,73
2026-04-07,11:44:39,20260407_114439,19,29,33,73
2026-04-07,11:44:44,20260407_114444,19,29,33,73
2026-04-07,11:44:49,20260407_114449,19,29,33,60
2026-04-07,11:44:54,20260407_114454,19,29,33,48
2026-04-07,11:44:59,20260407_114459,19,29,33,48
2026-04-07,11:45:04,20260407_114504,19,16,33,48
2026-04-07,11:45:09,20260407_114509,19,23,33,48
2026-04-07,11:45:14,20260407_114514,19,29,33,48
2026-04-07,11:45:19,20260407_114519,19,29,33,35
2026-04-07,11:45:24,20260407_114524,19,29,33,41
2026-04-07,11:45:29,20260407_114529,19,35,33,48
2026-04-07,11:45:34,20260407_114534,19,29,33,48
2026-04-07,11:45:39,20260407_114539,19,35,33,48
2026-04-07,11:45:44,20260407_114544,19,35,33,41
2026-04-07,11:45:49,20260407_114549,19,29,33,48
2026-04-07,11:45:54,20260407_114554,19,29,33,54
2026-04-07,11:45:59,20260407_114559,19,29,33,48
2026-04-07,11:46:04,20260407_114604,19,29,33,48
2026-04-07,11:46:09,20260407_114609,19,29,33,48
2026-04-07,11:46:14,20260407_114614,19,29,33,54
2026-04-07,11:46:19,20260407_114619,19,29,33,54
2026-04-07,11:46:24,20260407_114624,19,29,33,60
2026-04-07,11:46:29,20260407_114629,19,35,33,60
2026-04-07,11:46:34,20260407_114634,19,29,33,54
2026-04-07,11:46:39,20260407_114639,19,29,33,66
2026-04-07,11:46:44,20260407_114644,19,29,33,60
2026-04-07,11:46:49,20260407_114649,19,35,33,48
2026-04-07,11:46:54,20260407_114654,19,29,33,48
2026-04-07,11:46:59,20260407_114659,19,41,33,48
2026-04-07,11:47:04,20260407_114704,19,41,33,48
2026-04-07,11:47:09,20260407_114709,19,29,33,48
2026-04-07,11:47:14,20260407_114714,19,29,33,48
2026-04-07,11:47:19,20260407_114719,19,41,33,48
2026-04-07,11:47:24,20260407_114724,19,29,33,48
2026-04-07,11:47:29,20260407_114729,19,41,33,48
2026-04-07,11:47:34,20260407_114734,19,35,33,54
2026-04-07,11:47:39,20260407_114739,19,29,33,66
2026-04-07,11:47:44,20260407_114744,19,23,33,73
2026-04-07,11:47:49,20260407_114749,19,29,33,73
2026-04-07,11:47:54,20260407_114754,19,23,33,85
2026-04-07,11:47:59,20260407_114759,19,16,33,85
2026-04-07,11:48:04,20260407_114804,19,16,33,73
2026-04-07,11:48:09,20260407_114809,19,10,33,73
2026-04-07,11:48:14,20260407_114814,19,16,33,85
2026-04-07,11:48:19,20260407_114819,19,10,33,73
2026-04-07,11:48:24,20260407_114824,19,10,33,73
2026-04-07,11:48:29,20260407_114829,19,10,33,85
2026-04-07,11:48:34,20260407_114834,19,10,33,85
2026-04-07,11:48:39,20260407_114839,19,10,33,85
2026-04-07,11:48:44,20260407_114844,19,10,33,73
2026-04-07,11:48:49,20260407_114849,19,10,33,73
2026-04-07,11:48:54,20260407_114854,19,4,33,66
2026-04-07,11:48:59,20260407_114859,18,98,33,66
2026-04-07,11:49:04,20260407_114904,18,98,33,66
2026-04-07,11:49:09,20260407_114909,18,98,33,66
2026-04-07,11:49:14,20260407_114914,18,98,33,73
2026-04-07,11:49:19,20260407_114919,18,98,33,66
2026-04-07,11:49:24,20260407_114924,18,98,33,73
2026-04-07,11:49:29,20260407_114929,18,98,33,73
2026-04-07,11:49:34,20260407_114934,18,91,33,66
2026-04-07,11:49:39,20260407_114939,18,91,33,66
2026-04-07,11:49:44,20260407_114944,18,91,33,54
2026-04-07,11:49:49,20260407_114949,18,91,33,54
2026-04-07,11:49:54,20260407_114954,18,91,33,48
2026-04-07,11:49:59,20260407_114959,18,85,33,48
2026-04-07,11:50:04,20260407_115004,18,85,33,48
2026-04-07,11:50:09,20260407_115009,18,85,33,48
2026-04-07,11:50:14,20260407_115014,18,85,33,48
2026-04-07,11:50:19,20260407_115019,18,85,33,41
2026-04-07,11:50:24,20260407_115024,18,79,33,48
2026-04-07,11:50:29,20260407_115029,18,85,33,48
2026-04-07,11:50:34,20260407_115034,18,91,33,48
2026-04-07,11:50:39,20260407_115039,18,91,33,41
2026-04-07,11:50:44,20260407_115044,18,91,33,41
2026-04-07,11:50:49,20260407_115049,18,91,33,41
2026-04-07,11:50:54,20260407_115054,18,98,33,41
2026-04-07,11:50:59,20260407_115059,18,91,33,41
2026-04-07,11:51:04,20260407_115104,18,91,33,41
2026-04-07,11:51:09,20260407_115109,18,98,33,41
2026-04-07,11:51:14,20260407_115114,18,91,33,41
2026-04-07,11:51:19,20260407_115119,18,98,33,41
2026-04-07,11:51:24,20260407_115124,18,85,33,35
2026-04-07,11:51:29,20260407_115129,18,85,33,41
2026-04-07,11:51:34,20260407_115134,18,91,33,41
2026-04-07,11:51:39,20260407_115139,18,85,33,35
2026-04-07,11:51:44,20260407_115144,18,91,33,29
2026-04-07,11:51:49,20260407_115149,18,85,33,16
2026-04-07,11:51:54,20260407_115154,18,85,32,98
2026-04-07,11:51:59,20260407_115159,18,79,32,98
2026-04-07,11:52:04,20260407_115204,18,66,32,91
2026-04-07,11:52:09,20260407_115209,18,66,32,85
2026-04-07,11:52:14,20260407_115214,18,66,32,79
2026-04-07,11:52:19,20260407_115219,18,66,32,66
2026-04-07,11:52:24,20260407_115224,18,66,32,66
2026-04-07,11:52:29,20260407_115229,18,73,32,73
2026-04-07,11:52:34,20260407_115234,18,66,32,85
2026-04-07,11:52:39,20260407_115239,18,66,32,79
2026-04-07,11:52:44,20260407_115244,18,66,32,91
2026-04-07,11:52:49,20260407_115249,18,73,32,98
2026-04-07,11:52:54,20260407_115254,18,66,33,10
2026-04-07,11:52:59,20260407_115259,18,73,33,16
2026-04-07,11:53:04,20260407_115304,18,66,33,10
2026-04-07,11:53:09,20260407_115309,18,73,33,10
2026-04-07,11:53:14,20260407_115314,18,85,33,10
2026-04-07,11:53:19,20260407_115319,18,73,33,16
2026-04-07,11:53:24,20260407_115324,18,79,33,23
2026-04-07,11:53:29,20260407_115329,18,85,33,23
2026-04-07,11:53:34,20260407_115334,18,60,32,98
2026-04-07,11:53:39,20260407_115339,18,60,33,10
2026-04-07,11:53:44,20260407_115344,18,66,33,16
2026-04-07,11:53:49,20260407_115349,18,60,33,16
2026-04-07,11:53:54,20260407_115354,18,60,33,10
2026-04-07,11:53:59,20260407_115359,18,54,32,98
2026-04-07,11:54:04,20260407_115404,18,60,33,10
2026-04-07,11:54:09,20260407_115409,18,60,33,10
2026-04-07,11:54:14,20260407_115414,18,54,33,10
2026-04-07,11:54:19,20260407_115419,18,54,33,10
2026-04-07,11:54:24,20260407_115424,18,54,33,4
2026-04-07,11:54:29,20260407_115429,18,54,32,98
2026-04-07,11:54:34,20260407_115434,18,48,32,91
2026-04-07,11:54:39,20260407_115439,18,48,32,91
2026-04-07,11:54:44,20260407_115444,18,48,32,79
2026-04-07,11:54:49,20260407_115449,18,48,32,79
2026-04-07,11:54:54,20260407_115454,18,48,32,66
2026-04-07,11:54:59,20260407_115459,18,48,32,60
2026-04-07,11:55:04,20260407_115504,18,29,32,48
2026-04-07,11:55:09,20260407_115509,18,29,32,54
2026-04-07,11:55:14,20260407_115514,18,29,32,60
2026-04-07,11:55:19,20260407_115519,18,29,32,66
2026-04-07,11:55:24,20260407_115524,18,23,32,66
2026-04-07,11:55:29,20260407_115529,18,23,32,73
